gID,S1,S2,S3,S4,S5
K00509,0.152508944432,4.44822057567,0.12517029237,0.106221472558,0.167878714969
K00503,0.414524708737,1.33671484924,0.789499666373,1.06481507518,1.39444570047
K00500,0.382565567904,2.15263744451,0.529868388604,0.425775405049,1.50915319393
K00505,1.64512525121,0.973038414003,0.940359431579,0.589700194711,0.851776708496
K01101,0.3688526167,0.611153602303,0.724593287451,2.59990617615,0.695494317396
K05602,0.678876924625,0.298983596659,2.13887491195,0.535876018919,1.34738854785
K15891,0.0,5.0,0.0,0.0,0.0
K15894,0.709164686836,0.936967811114,2.23429977083,1.11956773122,0.0
K00212,5.0,0.0,0.0,0.0,0.0
K04518,3.21051827297,1.27835918822,0.215540261442,0.208294651835,0.0872876255367
K01586,3.11330717909,0.252976529889,0.715808436981,0.332401424565,0.585506429477
K13499,0.745420395753,0.601155284988,1.11833853046,1.53596609777,0.999119691024
K18134,1.21142203341,0.457302056397,0.9087345565,0.819639412223,1.60290194147
K01637,1.22309355955,1.11686946085,0.881619676653,0.576256493319,1.20216080963
K01630,0.903883663931,0.447836787031,1.30522340589,2.00668866073,0.336367482417
K03525,1.3876241425,0.495505953036,0.905874182696,1.24334965773,0.967646064031
K03524,0.997886202196,1.84625517438,0.616039214807,0.894135391722,0.645684016898
K13010,1.14089918957,1.25615605255,1.39786364682,0.450288184438,0.754792926628
K06001,0.792398097692,0.418772746366,2.66294925393,1.12587990201,0.0
K12309,0.0,5.0,0.0,0.0,0.0
K12305,1.04350681802,1.37871064468,1.1801813379,0.760341257942,0.637259941458
K12304,0.229086914621,3.13041747445,0.282959100008,0.789856705654,0.56767980527
K06130,0.802942335343,1.17456672348,0.735082606661,1.10395255554,1.18345577897
K03183,0.875263931322,0.35582074108,1.1313207285,1.43494205188,1.20265254721
K06221,0.654971804949,0.576911127336,0.91713528964,1.55102876983,1.29995300825
K00773,0.982905215886,0.510638952553,1.4833697283,0.959774193405,1.06331190986
K00772,2.94160739106,0.485814733055,0.772316245605,0.435369143978,0.364892486305
K11430,0.516140328098,0.496430828483,1.18585948121,1.30421286432,1.49735649789
K09833,1.23358063343,1.02980041138,0.754096810794,1.14813922852,0.834382915878
K09839,1.40462722072,1.07188404431,0.525200706709,1.62264888948,0.375639138787
K09838,0.742460679216,0.471859439601,0.615484321141,2.19234760427,0.977847955774
K10747,0.542503004429,1.84116078401,0.728094243024,1.13487726831,0.753364700236
K01912,1.36639395663,0.722122568822,1.72196215115,0.647139461288,0.542381862109
K01916,0.294563776615,0.333588136187,1.14901191286,1.3353099268,1.88752624754
K01914,4.71337994583,0.0682166776004,0.113093404808,0.0288200426438,0.0764899291199
K01918,1.27935722911,1.40532683932,0.812393638261,0.757404404431,0.745517888883
K05939,2.43872283198,0.0,2.56127716802,0.0,0.0
K03474,0.80633065458,0.152191017913,1.20971112905,0.545551780804,2.28621541765
K15892,0.632110238744,0.626375665168,1.99154150398,1.12268333066,0.627289261449
K00513,0.767010956325,0.0,2.41659958249,1.81638946119,0.0
K00517,0.655499810691,1.99629619792,0.845219835308,0.68923380774,0.813750348343
K00999,1.11582398207,1.0616161736,0.915400899448,0.746315072565,1.16084387231
K00991,1.10874301109,0.672848569203,0.602201150138,1.90390866799,0.712298601581
K14590,2.79430038936,0.0,0.0,2.20569961064,0.0
K01001,2.35785254257,0.558346728649,0.392480449657,0.593898187337,1.09742209179
K01006,0.329601123018,0.342682374818,2.28129286309,0.438374891707,1.60804874736
K01007,0.707596264138,2.13847694445,0.818049760466,0.422430994237,0.913446036713
K01008,0.973236266138,2.1530472668,0.502018760825,0.676655674132,0.695042032103
K13483,0.872230249314,0.288102557141,1.31676735549,1.54913064981,0.973769188251
K13482,0.486787733306,0.615192638417,1.26693793465,1.20286819207,1.42821350156
K13481,0.410246757188,3.7623291667,0.101374221573,0.342881439531,0.383168415011
